playlist_year,playlist_name,playlist_uri,playlist_image,playlist_snapshot_id,playlist_tracks_url,playlist_tracks_total,artist_name,album_name,track_name,track_uri,track_added_at,track_preview_url,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2018,Top Hits of 2018,spotify:playlist:37i9dQZF1DXe2bobNYDtW8,https://i.scdn.co/image/ab67706f000000035de49a1d6e08007ab7dbd927,MTY0MzAxOTAzNywwMDAwMDAwMDAxZGZiZWNkYmVhYmMzMjgxMzE2ODRlYWEyMDU5MTVk,https://api.spotify.com/v1/playlists/37i9dQZF1DXe2bobNYDtW8/tracks?offset=0&limit=100&additional_types=track,100,XXXTENTACION,?,SAD!,3ee8Jmje8o58CHK66QrVC2,2020-06-22T07:16:14Z,,83,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,166606,4
2018,Top Hits of 2018,spotify:playlist:37i9dQZF1DXe2bobNYDtW8,https://i.scdn.co/image/ab67706f000000035de49a1d6e08007ab7dbd927,MTY0MzAxOTAzNywwMDAwMDAwMDAxZGZiZWNkYmVhYmMzMjgxMzE2ODRlYWEyMDU5MTVk,https://api.spotify.com/v1/playlists/37i9dQZF1DXe2bobNYDtW8/tracks?offset=0&limit=100&additional_types=track,100,Selena Gomez,Wolves,Wolves,0tBbt8CrmxbjRP0pueQkyU,2020-06-22T07:16:14Z,,81,0.724,0.804,11,-4.614,0,0.0448,0.124,0,0.204,0.306,124.987,197993,4
2018,Top Hits of 2018,spotify:playlist:37i9dQZF1DXe2bobNYDtW8,https://i.scdn.co/image/ab67706f000000035de49a1d6e08007ab7dbd927,MTY0MzAxOTAzNywwMDAwMDAwMDAxZGZiZWNkYmVhYmMzMjgxMzE2ODRlYWEyMDU5MTVk,https://api.spotify.com/v1/playlists/37i9dQZF1DXe2bobNYDtW8/tracks?offset=0&limit=100&additional_types=track,100,Sheck Wes,MUDBOY,Mo Bamba,1xzBco0xcoJEDXktl7Jxrr,2020-08-11T07:28:27Z,,81,0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034,183907,4
2018,Top Hits of 2018,spotify:playlist:37i9dQZF1DXe2bobNYDtW8,https://i.scdn.co/image/ab67706f000000035de49a1d6e08007ab7dbd927,MTY0MzAxOTAzNywwMDAwMDAwMDAxZGZiZWNkYmVhYmMzMjgxMzE2ODRlYWEyMDU5MTVk,https://api.spotify.com/v1/playlists/37i9dQZF1DXe2bobNYDtW8/tracks?offset=0&limit=100&additional_types=track,100,Dua Lipa,Dua Lipa (Deluxe),IDGAF,76cy1WJvNGJTj78UqeA5zr,2020-06-22T07:16:14Z,https://p.scdn.co/mp3-preview/5338a987bfe51f8365bf43b899ecd8a83df83226?cid=94b56089f9144cc9bd0ab9a7d6bd238d,81,0.836,0.544,7,-5.975,1,0.0943,0.0403,0,0.0824,0.51,97.028,217947,4
2018,Top Hits of 2018,spotify:playlist:37i9dQZF1DXe2bobNYDtW8,https://i.scdn.co/image/ab67706f000000035de49a1d6e08007ab7dbd927,MTY0MzAxOTAzNywwMDAwMDAwMDAxZGZiZWNkYmVhYmMzMjgxMzE2ODRlYWEyMDU5MTVk,https://api.spotify.com/v1/playlists/37i9dQZF1DXe2bobNYDtW8/tracks?offset=0&limit=100&additional_types=track,100,Dean Lewis,Be Alright,Be Alright,3EPXxR3ImUwfayaurPi3cm,2020-06-22T07:16:14Z,,80,0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,196373,4
2018,Top Hits of 2018,spotify:playlist:37i9dQZF1DXe2bobNYDtW8,https://i.scdn.co/image/ab67706f000000035de49a1d6e08007ab7dbd927,MTY0MzAxOTAzNywwMDAwMDAwMDAxZGZiZWNkYmVhYmMzMjgxMzE2ODRlYWEyMDU5MTVk,https://api.spotify.com/v1/playlists/37i9dQZF1DXe2bobNYDtW8/tracks?offset=0&limit=100&additional_types=track,100,Ariana Grande,Sweetener,God is a woman,5OCJzvD7sykQEKHH7qAC3C,2020-06-22T07:16:14Z,,80,0.602,0.658,1,-5.934,1,0.0558,0.0233,6e-05,0.237,0.268,145.031,197547,4
2018,Top Hits of 2018,spotify:playlist:37i9dQZF1DXe2bobNYDtW8,https://i.scdn.co/image/ab67706f000000035de49a1d6e08007ab7dbd927,MTY0MzAxOTAzNywwMDAwMDAwMDAxZGZiZWNkYmVhYmMzMjgxMzE2ODRlYWEyMDU5MTVk,https://api.spotify.com/v1/playlists/37i9dQZF1DXe2bobNYDtW8/tracks?offset=0&limit=100&additional_types=track,100,Drake,Scorpion,Nonstop,0TlLq3lA83rQOYtrqBqSct,2020-06-22T07:16:14Z,,80,0.912,0.412,7,-8.074,1,0.123,0.0165,0.0126,0.104,0.423,154.983,238614,4
2018,Top Hits of 2018,spotify:playlist:37i9dQZF1DXe2bobNYDtW8,https://i.scdn.co/image/ab67706f000000035de49a1d6e08007ab7dbd927,MTY0MzAxOTAzNywwMDAwMDAwMDAxZGZiZWNkYmVhYmMzMjgxMzE2ODRlYWEyMDU5MTVk,https://api.spotify.com/v1/playlists/37i9dQZF1DXe2bobNYDtW8/tracks?offset=0&limit=100&additional_types=track,100,XXXTENTACION,?,changes,7AFASza1mXqntmGtbxXprO,2020-06-22T07:16:14Z,,80,0.669,0.308,11,-10.068,1,0.029,0.883,0,0.0984,0.52,64.934,121887,4
2018,Top Hits of 2018,spotify:playlist:37i9dQZF1DXe2bobNYDtW8,https://i.scdn.co/image/ab67706f000000035de49a1d6e08007ab7dbd927,MTY0MzAxOTAzNywwMDAwMDAwMDAxZGZiZWNkYmVhYmMzMjgxMzE2ODRlYWEyMDU5MTVk,https://api.spotify.com/v1/playlists/37i9dQZF1DXe2bobNYDtW8/tracks?offset=0&limit=100&additional_types=track,100,Dynoro,In My Mind,In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,2020-06-22T07:16:14Z,https://p.scdn.co/mp3-preview/4de512355f4b332fcf079a74592025ff168813ff?cid=94b56089f9144cc9bd0ab9a7d6bd238d,80,0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905,184560,4
2018,Top Hits of 2018,spotify:playlist:37i9dQZF1DXe2bobNYDtW8,https://i.scdn.co/image/ab67706f000000035de49a1d6e08007ab7dbd927,MTY0MzAxOTAzNywwMDAwMDAwMDAxZGZiZWNkYmVhYmMzMjgxMzE2ODRlYWEyMDU5MTVk,https://api.spotify.com/v1/playlists/37i9dQZF1DXe2bobNYDtW8/tracks?offset=0&limit=100&additional_types=track,100,George Ezra,Staying at Tamara's,Shotgun,4ofwffwvvnbSkrMSCKQDaC,2020-06-22T07:16:14Z,https://p.scdn.co/mp3-preview/3d87ba7cbe8d7c7499cf86e46f7665b2b63639fe?cid=94b56089f9144cc9bd0ab9a7d6bd238d,79,0.673,0.735,5,-4.733,1,0.0457,0.286,0,0.242,0.754,115.744,201287,4
2018,Top Hits of 2018,spotify:playlist:37i9dQZF1DXe2bobNYDtW8,https://i.scdn.co/image/ab67706f000000035de49a1d6e08007ab7dbd927,MTY0MzAxOTAzNywwMDAwMDAwMDAxZGZiZWNkYmVhYmMzMjgxMzE2ODRlYWEyMDU5MTVk,https://api.spotify.com/v1/playlists/37i9dQZF1DXe2bobNYDtW8/tracks?offset=0&limit=100&additional_types=track,100,Post Malone,beerbongs & bentleys,Psycho (feat. Ty Dolla $ign),3swc6WTsr7rl9DqQKQA55C,2020-06-22T07:16:14Z,,79,0.75,0.56,8,-8.094,1,0.105,0.546,0,0.111,0.459,140.06,221440,4
2018,Top Hits of 2018,spotify:playlist:37i9dQZF1DXe2bobNYDtW8,https://i.scdn.co/image/ab67706f000000035de49a1d6e08007ab7dbd927,MTY0MzAxOTAzNywwMDAwMDAwMDAxZGZiZWNkYmVhYmMzMjgxMzE2ODRlYWEyMDU5MTVk,https://api.spotify.com/v1/playlists/37i9dQZF1DXe2bobNYDtW8/tracks?offset=0&limit=100&additional_types=track,100,G-Eazy,The Beautiful & Damned,Him & I (with Halsey),5k38wzpLb15YgncyWdTZE4,2020-06-22T07:16:14Z,https://p.scdn.co/mp3-preview/f3b074fff3b73dfec619cf9a3ff72be8d6de2cb6?cid=94b56089f9144cc9bd0ab9a7d6bd238d,79,0.589,0.731,2,-6.343,1,0.0868,0.0534,0,0.308,0.191,87.908,268867,4
2018,Top Hits of 2018,spotify:playlist:37i9dQZF1DXe2bobNYDtW8,https://i.scdn.co/image/ab67706f000000035de49a1d6e08007ab7dbd927,MTY0MzAxOTAzNywwMDAwMDAwMDAxZGZiZWNkYmVhYmMzMjgxMzE2ODRlYWEyMDU5MTVk,https://api.spotify.com/v1/playlists/37i9dQZF1DXe2bobNYDtW8/tracks?offset=0&limit=100&additional_types=track,100,Piso 21,Ubuntu,Déjala Que Vuelva (feat. Manuel Turizo),1j6xOGusnyXq3l6IryKF3G,2020-06-22T07:16:14Z,https://p.scdn.co/mp3-preview/92140771060c2b7084d1d0ca98c1a225cae321cb?cid=94b56089f9144cc9bd0ab9a7d6bd238d,78,0.681,0.788,1,-4.323,1,0.0785,0.0482,0,0.0753,0.839,170.019,220117,4
2018,Top Hits of 2018,spotify:playlist:37i9dQZF1DXe2bobNYDtW8,https://i.scdn.co/image/ab67706f000000035de49a1d6e08007ab7dbd927,MTY0MzAxOTAzNywwMDAwMDAwMDAxZGZiZWNkYmVhYmMzMjgxMzE2ODRlYWEyMDU5MTVk,https://api.spotify.com/v1/playlists/37i9dQZF1DXe2bobNYDtW8/tracks?offset=0&limit=100&additional_types=track,100,DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,2020-06-22T07:16:14Z,,78,0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,212500,4
2018,Top Hits of 2018,spotify:playlist:37i9dQZF1DXe2bobNYDtW8,https://i.scdn.co/image/ab67706f000000035de49a1d6e08007ab7dbd927,MTY0MzAxOTAzNywwMDAwMDAwMDAxZGZiZWNkYmVhYmMzMjgxMzE2ODRlYWEyMDU5MTVk,https://api.spotify.com/v1/playlists/37i9dQZF1DXe2bobNYDtW8/tracks?offset=0&limit=100&additional_types=track,100,Nio Garcia,Te Boté (Remix),Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,2020-06-22T07:16:14Z,https://p.scdn.co/mp3-preview/77974faf4e6baee7f084e78680860df4a96559f5?cid=94b56089f9144cc9bd0ab9a7d6bd238d,78,0.903,0.675,11,-3.445,0,0.214,0.542,1.28e-05,0.0595,0.442,96.507,417920,4
2018,Top Hits of 2018,spotify:playlist:37i9dQZF1DXe2bobNYDtW8,https://i.scdn.co/image/ab67706f000000035de49a1d6e08007ab7dbd927,MTY0MzAxOTAzNywwMDAwMDAwMDAxZGZiZWNkYmVhYmMzMjgxMzE2ODRlYWEyMDU5MTVk,https://api.spotify.com/v1/playlists/37i9dQZF1DXe2bobNYDtW8/tracks?offset=0&limit=100&additional_types=track,100,Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",5Gu0PDLN4YJeW75PpBSg9p,2020-06-22T07:16:14Z,,77,0.664,0.708,8,-4.154,1,0.0474,0.0337,0,0.0841,0.742,103.07,174800,4
2018,Top Hits of 2018,spotify:playlist:37i9dQZF1DXe2bobNYDtW8,https://i.scdn.co/image/ab67706f000000035de49a1d6e08007ab7dbd927,MTY0MzAxOTAzNywwMDAwMDAwMDAxZGZiZWNkYmVhYmMzMjgxMzE2ODRlYWEyMDU5MTVk,https://api.spotify.com/v1/playlists/37i9dQZF1DXe2bobNYDtW8/tracks?offset=0&limit=100&additional_types=track,100,Drake,Scorpion,Nice For What,3CA9pLiwRIGtUBiMjbZmRw,2020-06-22T07:16:14Z,,79,0.585,0.909,8,-6.474,1,0.0707,0.0891,9.7e-05,0.119,0.758,93.372,210747,4
2018,Top Hits of 2018,spotify:playlist:37i9dQZF1DXe2bobNYDtW8,https://i.scdn.co/image/ab67706f000000035de49a1d6e08007ab7dbd927,MTY0MzAxOTAzNywwMDAwMDAwMDAxZGZiZWNkYmVhYmMzMjgxMzE2ODRlYWEyMDU5MTVk,https://api.spotify.com/v1/playlists/37i9dQZF1DXe2bobNYDtW8/tracks?offset=0&limit=100&additional_types=track,100,Migos,Culture II,Stir Fry,2UVbBKQOdFAekPTRsnkzcf,2020-06-22T07:16:14Z,,77,0.817,0.816,2,-5.402,1,0.269,0.00263,0,0.159,0.508,181.982,190288,4
2018,Top Hits of 2018,spotify:playlist:37i9dQZF1DXe2bobNYDtW8,https://i.scdn.co/image/ab67706f000000035de49a1d6e08007ab7dbd927,MTY0MzAxOTAzNywwMDAwMDAwMDAxZGZiZWNkYmVhYmMzMjgxMzE2ODRlYWEyMDU5MTVk,https://api.spotify.com/v1/playlists/37i9dQZF1DXe2bobNYDtW8/tracks?offset=0&limit=100&additional_types=track,100,Ozuna,Aura,Vaina Loca,48zFZh27QU5qsrBjn4C2FA,2020-06-22T07:16:14Z,https://p.scdn.co/mp3-preview/b77ccefadded2389e2aa09aeb99a82973430fa0a?cid=94b56089f9144cc9bd0ab9a7d6bd238d,77,0.754,0.805,6,-4.249,1,0.0752,0.315,0,0.203,0.555,93.982,176133,4
2018,Top Hits of 2018,spotify:playlist:37i9dQZF1DXe2bobNYDtW8,https://i.scdn.co/image/ab67706f000000035de49a1d6e08007ab7dbd927,MTY0MzAxOTAzNywwMDAwMDAwMDAxZGZiZWNkYmVhYmMzMjgxMzE2ODRlYWEyMDU5MTVk,https://api.spotify.com/v1/playlists/37i9dQZF1DXe2bobNYDtW8/tracks?offset=0&limit=100&additional_types=track,100,Dennis Lloyd,Nevermind,Nevermind,63SevszngYpZOwf63o61K4,2020-06-22T07:16:14Z,https://p.scdn.co/mp3-preview/fbf8cd4c1d4fe03839ce72b099cd90e7ff143a77?cid=94b56089f9144cc9bd0ab9a7d6bd238d,77,0.6,0.688,5,-8.339,0,0.201,0.159,1.29e-05,0.409,0.0793,99.977,156600,4
2018,Top Hits of 2018,spotify:playlist:37i9dQZF1DXe2bobNYDtW8,https://i.scdn.co/image/ab67706f000000035de49a1d6e08007ab7dbd927,MTY0MzAxOTAzNywwMDAwMDAwMDAxZGZiZWNkYmVhYmMzMjgxMzE2ODRlYWEyMDU5MTVk,https://api.spotify.com/v1/playlists/37i9dQZF1DXe2bobNYDtW8/tracks?offset=0&limit=100&additional_types=track,100,The 1975,A Brief Inquiry Into Online Relationships,It's Not Living (If It's Not With You),3TgMcrV32NUKjEG2ujn9eh,2021-06-15T12:30:25Z,,77,0.618,0.837,1,-5.338,1,0.0304,0.000254,0.000378,0.0618,0.526,121.227,248336,4
2018,Top Hits of 2018,spotify:playlist:37i9dQZF1DXe2bobNYDtW8,https://i.scdn.co/image/ab67706f000000035de49a1d6e08007ab7dbd927,MTY0MzAxOTAzNywwMDAwMDAwMDAxZGZiZWNkYmVhYmMzMjgxMzE2ODRlYWEyMDU5MTVk,https://api.spotify.com/v1/playlists/37i9dQZF1DXe2bobNYDtW8/tracks?offset=0&limit=100&additional_types=track,100,Loud Luxury,Body,Body,21RzyxY3EFaxVy6K4RqaU9,2020-06-22T07:16:14Z,https://p.scdn.co/mp3-preview/500f32c94358533f3736af033498350a9636e701?cid=94b56089f9144cc9bd0ab9a7d6bd238d,77,0.752,0.764,1,-4.399,1,0.038,0.0476,9.44e-05,0.0543,0.582,121.958,163216,4
2018,Top Hits of 2018,spotify:playlist:37i9dQZF1DXe2bobNYDtW8,https://i.scdn.co/image/ab67706f000000035de49a1d6e08007ab7dbd927,MTY0MzAxOTAzNywwMDAwMDAwMDAxZGZiZWNkYmVhYmMzMjgxMzE2ODRlYWEyMDU5MTVk,https://api.spotify.com/v1/playlists/37i9dQZF1DXe2bobNYDtW8/tracks?offset=0&limit=100&additional_types=track,100,Bazzi,COSMIC,Mine,7uzmGiiJyRfuViKKK3lVmR,2020-06-22T07:16:14Z,https://p.scdn.co/mp3-preview/c0a7b6ae1f9e5af8169b6aa870bf05c41933c8da?cid=94b56089f9144cc9bd0ab9a7d6bd238d,77,0.71,0.789,4,-3.874,1,0.0722,0.0161,2.77e-06,0.451,0.717,142.929,131064,4
2018,Top Hits of 2018,spotify:playlist:37i9dQZF1DXe2bobNYDtW8,https://i.scdn.co/image/ab67706f000000035de49a1d6e08007ab7dbd927,MTY0MzAxOTAzNywwMDAwMDAwMDAxZGZiZWNkYmVhYmMzMjgxMzE2ODRlYWEyMDU5MTVk,https://api.spotify.com/v1/playlists/37i9dQZF1DXe2bobNYDtW8/tracks?offset=0&limit=100&additional_types=track,100,Drake,Scorpion,In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,2020-06-22T07:16:14Z,,77,0.835,0.626,1,-5.833,1,0.125,0.0589,6e-05,0.396,0.35,91.03,217925,4
2018,Top Hits of 2018,spotify:playlist:37i9dQZF1DXe2bobNYDtW8,https://i.scdn.co/image/ab67706f000000035de49a1d6e08007ab7dbd927,MTY0MzAxOTAzNywwMDAwMDAwMDAxZGZiZWNkYmVhYmMzMjgxMzE2ODRlYWEyMDU5MTVk,https://api.spotify.com/v1/playlists/37i9dQZF1DXe2bobNYDtW8/tracks?offset=0&limit=100&additional_types=track,100,benny blanco,Eastside (with Halsey & Khalid),Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,2020-06-22T07:16:14Z,,76,0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391,173800,4
2018,Top Hits of 2018,spotify:playlist:37i9dQZF1DXe2bobNYDtW8,https://i.scdn.co/image/ab67706f000000035de49a1d6e08007ab7dbd927,MTY0MzAxOTAzNywwMDAwMDAwMDAxZGZiZWNkYmVhYmMzMjgxMzE2ODRlYWEyMDU5MTVk,https://api.spotify.com/v1/playlists/37i9dQZF1DXe2bobNYDtW8/tracks?offset=0&limit=100&additional_types=track,100,Bebe Rexha,All Your Fault: Pt. 2,Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,2020-06-22T07:16:14Z,https://p.scdn.co/mp3-preview/fa4d66e50c72c03ced38f802adf41e44cad2c2e4?cid=94b56089f9144cc9bd0ab9a7d6bd238d,76,0.643,0.783,10,-6.458,1,0.0856,0.047,0,0.083,0.579,154.084,163870,4
2018,Top Hits of 2018,spotify:playlist:37i9dQZF1DXe2bobNYDtW8,https://i.scdn.co/image/ab67706f000000035de49a1d6e08007ab7dbd927,MTY0MzAxOTAzNywwMDAwMDAwMDAxZGZiZWNkYmVhYmMzMjgxMzE2ODRlYWEyMDU5MTVk,https://api.spotify.com/v1/playlists/37i9dQZF1DXe2bobNYDtW8/tracks?offset=0&limit=100&additional_types=track,100,Migos,Culture II,Walk It Talk It,6n4U3TlzUGhdSFbUUhTvLP,2020-06-22T07:16:14Z,,77,0.907,0.633,2,-5.145,1,0.184,0.0876,2.6e-06,0.106,0.395,145.914,276147,4
