rank,playlist_name,playlist_uri,playlist_image,playlist_snapshot_id,playlist_tracks_url,playlist_tracks_total,artist_name,album_name,track_name,track_uri,track_added_at,track_preview_url,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
10,Top Tracks of 2022,spotify:playlist:37i9dQZF1DX18jTM2l2fJY,https://i.scdn.co/image/ab67706f000000037f4ea941fbb7278dd4198116,MTY2OTgxNjAyMCwwMDAwMDAwMDYwZmVkNmE0M2QzYjc5MzhkZWZkYjcxMDRjOGYxNjgx,https://api.spotify.com/v1/playlists/37i9dQZF1DX18jTM2l2fJY/tracks?offset=0&limit=100&additional_types=track,50,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),27NovPIUIRrOZoCHxABJwK,2022-11-30T13:47:00Z,https://p.scdn.co/mp3-preview/e692ccfcdfe7010a8c1ed61de7937c7686ed072d?cid=94b56089f9144cc9bd0ab9a7d6bd238d,83,0.736,0.704,3,-7.409,0,0.0615,0.0203,0,0.0501,0.894,149.995,212000,4
11,Top Tracks of 2022,spotify:playlist:37i9dQZF1DX18jTM2l2fJY,https://i.scdn.co/image/ab67706f000000037f4ea941fbb7278dd4198116,MTY2OTgxNjAyMCwwMDAwMDAwMDYwZmVkNmE0M2QzYjc5MzhkZWZkYjcxMDRjOGYxNjgx,https://api.spotify.com/v1/playlists/37i9dQZF1DX18jTM2l2fJY/tracks?offset=0&limit=100&additional_types=track,50,GAYLE,abcdefu,abcdefu,4fouWK6XVHhzl78KzQ1UjL,2022-11-30T13:47:00Z,https://p.scdn.co/mp3-preview/e13e3bf98cefdca448a1b31ee123a890be0e113c?cid=94b56089f9144cc9bd0ab9a7d6bd238d,84,0.695,0.54,4,-5.692,1,0.0493,0.299,0,0.367,0.415,121.932,168602,4
12,Top Tracks of 2022,spotify:playlist:37i9dQZF1DX18jTM2l2fJY,https://i.scdn.co/image/ab67706f000000037f4ea941fbb7278dd4198116,MTY2OTgxNjAyMCwwMDAwMDAwMDYwZmVkNmE0M2QzYjc5MzhkZWZkYjcxMDRjOGYxNjgx,https://api.spotify.com/v1/playlists/37i9dQZF1DX18jTM2l2fJY/tracks?offset=0&limit=100&additional_types=track,50,Bad Bunny,Un Verano Sin Ti,Efecto,5Eax0qFko2dh7Rl2lYs3bx,2022-11-30T13:47:00Z,https://p.scdn.co/mp3-preview/a622a47c8df98ef72676608511c0b2e1d5d51268?cid=94b56089f9144cc9bd0ab9a7d6bd238d,90,0.801,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,213061,4
13,Top Tracks of 2022,spotify:playlist:37i9dQZF1DX18jTM2l2fJY,https://i.scdn.co/image/ab67706f000000037f4ea941fbb7278dd4198116,MTY2OTgxNjAyMCwwMDAwMDAwMDYwZmVkNmE0M2QzYjc5MzhkZWZkYjcxMDRjOGYxNjgx,https://api.spotify.com/v1/playlists/37i9dQZF1DX18jTM2l2fJY/tracks?offset=0&limit=100&additional_types=track,50,Justin Bieber,Justice,Ghost,6I3mqTwhRpn34SLVafSH7G,2022-11-30T13:47:00Z,,88,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,153190,4
14,Top Tracks of 2022,spotify:playlist:37i9dQZF1DX18jTM2l2fJY,https://i.scdn.co/image/ab67706f000000037f4ea941fbb7278dd4198116,MTY2OTgxNjAyMCwwMDAwMDAwMDYwZmVkNmE0M2QzYjc5MzhkZWZkYjcxMDRjOGYxNjgx,https://api.spotify.com/v1/playlists/37i9dQZF1DX18jTM2l2fJY/tracks?offset=0&limit=100&additional_types=track,50,Joji,Glimpse of Us,Glimpse of Us,6xGruZOHLs39ZbVccQTuPZ,2022-11-30T13:47:00Z,https://p.scdn.co/mp3-preview/12e4a7ef3f1051424e6e282dfba83fe8448e122f?cid=94b56089f9144cc9bd0ab9a7d6bd238d,87,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,233456,3
15,Top Tracks of 2022,spotify:playlist:37i9dQZF1DX18jTM2l2fJY,https://i.scdn.co/image/ab67706f000000037f4ea941fbb7278dd4198116,MTY2OTgxNjAyMCwwMDAwMDAwMDYwZmVkNmE0M2QzYjc5MzhkZWZkYjcxMDRjOGYxNjgx,https://api.spotify.com/v1/playlists/37i9dQZF1DX18jTM2l2fJY/tracks?offset=0&limit=100&additional_types=track,50,Bad Bunny,Un Verano Sin Ti,Moscow Mule,6Xom58OOXk2SoU711L2IXO,2022-11-30T13:47:00Z,https://p.scdn.co/mp3-preview/77b12f38abcff65705166d67b5657f70cd890635?cid=94b56089f9144cc9bd0ab9a7d6bd238d,88,0.804,0.674,5,-5.453,0,0.0333,0.294,1.18e-06,0.115,0.292,99.968,245940,4
16,Top Tracks of 2022,spotify:playlist:37i9dQZF1DX18jTM2l2fJY,https://i.scdn.co/image/ab67706f000000037f4ea941fbb7278dd4198116,MTY2OTgxNjAyMCwwMDAwMDAwMDYwZmVkNmE0M2QzYjc5MzhkZWZkYjcxMDRjOGYxNjgx,https://api.spotify.com/v1/playlists/37i9dQZF1DX18jTM2l2fJY/tracks?offset=0&limit=100&additional_types=track,50,Ed Sheeran,=,Shivers,50nfwKoDiSYg8zOCREWAm5,2022-11-30T13:47:00Z,https://p.scdn.co/mp3-preview/08cec59d36ac30ae9ce1e2944f206251859844af?cid=94b56089f9144cc9bd0ab9a7d6bd238d,88,0.788,0.859,2,-2.724,1,0.0856,0.281,0,0.0424,0.822,141.02,207853,4
17,Top Tracks of 2022,spotify:playlist:37i9dQZF1DX18jTM2l2fJY,https://i.scdn.co/image/ab67706f000000037f4ea941fbb7278dd4198116,MTY2OTgxNjAyMCwwMDAwMDAwMDYwZmVkNmE0M2QzYjc5MzhkZWZkYjcxMDRjOGYxNjgx,https://api.spotify.com/v1/playlists/37i9dQZF1DX18jTM2l2fJY/tracks?offset=0&limit=100&additional_types=track,50,Adele,Easy On Me,Easy On Me,0gplL1WMoJ6iYaPgMCL0gX,2022-11-30T13:47:00Z,https://p.scdn.co/mp3-preview/a0cd8077c79a4aa3dcaa68bbc5ecdeda46e8d13f?cid=94b56089f9144cc9bd0ab9a7d6bd238d,84,0.604,0.366,5,-7.519,1,0.0282,0.578,0,0.133,0.13,141.981,224695,4
18,Top Tracks of 2022,spotify:playlist:37i9dQZF1DX18jTM2l2fJY,https://i.scdn.co/image/ab67706f000000037f4ea941fbb7278dd4198116,MTY2OTgxNjAyMCwwMDAwMDAwMDYwZmVkNmE0M2QzYjc5MzhkZWZkYjcxMDRjOGYxNjgx,https://api.spotify.com/v1/playlists/37i9dQZF1DX18jTM2l2fJY/tracks?offset=0&limit=100&additional_types=track,50,Elley Duhé,MIDDLE OF THE NIGHT,MIDDLE OF THE NIGHT,58HvfVOeJY7lUuCqF0m3ly,2022-11-30T13:47:00Z,https://p.scdn.co/mp3-preview/e7c2441dcf8e321237c35085e4aa05bd0dcfa2c4?cid=94b56089f9144cc9bd0ab9a7d6bd238d,87,0.41,0.611,4,-8.271,0,0.0467,0.0228,0,0.116,0.0899,185.727,184448,3
19,Top Tracks of 2022,spotify:playlist:37i9dQZF1DX18jTM2l2fJY,https://i.scdn.co/image/ab67706f000000037f4ea941fbb7278dd4198116,MTY2OTgxNjAyMCwwMDAwMDAwMDYwZmVkNmE0M2QzYjc5MzhkZWZkYjcxMDRjOGYxNjgx,https://api.spotify.com/v1/playlists/37i9dQZF1DX18jTM2l2fJY/tracks?offset=0&limit=100&additional_types=track,50,Doja Cat,Planet Her,Woman,6Uj1ctrBOjOas8xZXGqKk4,2022-11-30T13:47:00Z,https://p.scdn.co/mp3-preview/2ae0b61e45d9a5d6454a3e5ab75f8628dd89aa85?cid=94b56089f9144cc9bd0ab9a7d6bd238d,87,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,172627,4
